iter	Passed	Remaining
0	4	4750
1	8	4474
2	13	4512
3	17	4427
4	22	4408
5	26	4371
6	30	4333
7	35	4394
8	40	4405
9	44	4375
10	48	4379
11	53	4444
12	58	4446
13	63	4472
14	68	4495
15	72	4482
16	76	4451
17	81	4467
18	85	4440
19	90	4411
20	94	4396
21	98	4369
22	102	4357
23	106	4347
24	110	4326
25	115	4319
26	119	4301
27	123	4293
28	127	4284
29	131	4264
30	136	4260
31	140	4252
32	144	4237
33	149	4238
34	153	4231
35	157	4220
36	161	4210
37	165	4198
38	169	4186
39	173	4175
40	177	4162
41	182	4155
42	186	4146
43	190	4136
44	194	4127
45	198	4115
46	203	4118
47	207	4111
48	211	4102
49	215	4097
50	219	4086
51	224	4084
52	228	4079
53	232	4072
54	237	4072
55	241	4067
56	245	4057
57	249	4059
58	253	4049
59	257	4041
60	262	4038
61	266	4028
62	270	4022
63	274	4014
64	278	4007
65	282	4003
66	286	3993
67	291	3988
68	295	3983
69	299	3975
70	303	3972
71	307	3967
72	311	3959
73	315	3952
74	319	3946
75	324	3944
76	328	3939
77	332	3932
78	337	3933
79	341	3924
80	345	3920
81	349	3915
82	353	3909
83	358	3906
84	362	3898
85	366	3891
86	370	3887
87	374	3880
88	378	3875
89	382	3872
90	387	3865
91	391	3864
92	395	3857
93	399	3851
94	403	3844
95	407	3838
96	411	3834
97	415	3828
98	420	3824
99	424	3821
100	428	3814
101	433	3814
102	437	3810
103	441	3803
104	446	3802
105	450	3797
106	454	3790
107	458	3787
108	462	3780
109	466	3776
110	471	3772
111	475	3767
112	479	3763
113	483	3756
114	487	3752
115	491	3748
116	496	3744
117	500	3743
118	505	3739
119	509	3733
120	514	3734
121	518	3731
122	522	3728
123	528	3731
124	532	3727
125	536	3721
126	540	3718
127	545	3714
128	549	3710
129	554	3713
130	560	3716
131	567	3731
132	572	3734
133	578	3737
134	583	3736
135	588	3737
136	593	3736
137	597	3731
138	601	3728
139	606	3723
140	610	3717
141	614	3713
142	618	3706
143	622	3702
144	629	3713
145	635	3716
146	640	3714
147	644	3710
148	649	3707
149	653	3702
150	657	3696
151	661	3692
152	665	3685
153	669	3679
154	673	3673
155	678	3668
156	682	3664
157	686	3657
158	690	3653
159	694	3647
160	698	3641
161	703	3636
162	707	3632
163	711	3626
164	715	3621
165	719	3615
166	723	3611
167	728	3607
168	732	3601
169	736	3596
170	740	3590
171	744	3584
172	749	3580
173	753	3575
174	757	3570
175	761	3564
176	765	3559
177	784	3624
178	789	3619
179	792	3612
180	797	3607
181	801	3601
182	805	3595
183	809	3589
184	813	3583
185	817	3579
186	822	3575
187	826	3569
188	830	3564
189	834	3558
190	838	3552
191	842	3546
192	846	3540
193	851	3535
194	854	3529
195	859	3524
196	863	3519
197	867	3513
198	871	3508
199	876	3505
200	880	3499
201	884	3494
202	888	3487
203	892	3483
204	896	3478
205	900	3472
206	905	3467
207	909	3463
208	913	3457
209	917	3452
210	921	3447
211	926	3443
212	930	3438
213	934	3432
214	938	3427
215	942	3421
216	946	3416
217	950	3411
218	954	3405
219	959	3400
220	963	3394
221	967	3390
222	971	3384
223	975	3378
224	979	3373
225	983	3367
226	987	3363
227	991	3358
228	995	3352
229	999	3347
230	1003	3341
231	1007	3336
232	1011	3331
233	1016	3326
234	1021	3324
235	1025	3319
236	1031	3319
237	1036	3318
238	1041	3316
239	1047	3316
240	1052	3315
241	1057	3312
242	1063	3313
243	1078	3340
244	1084	3342
245	1091	3344
246	1097	3346
247	1104	3349
248	1111	3352
249	1119	3357
250	1125	3358
251	1131	3358
252	1138	3361
253	1146	3366
254	1152	3368
255	1159	3369
256	1165	3370
257	1171	3369
258	1177	3367
259	1181	3363
260	1186	3360
261	1192	3359
262	1199	3361
263	1205	3361
264	1211	3359
265	1215	3355
266	1220	3350
267	1226	3349
268	1232	3348
269	1237	3345
270	1241	3340
271	1247	3338
272	1253	3338
273	1258	3334
274	1262	3329
275	1267	3324
276	1272	3321
277	1277	3317
278	1281	3311
279	1286	3308
280	1291	3304
281	1295	3299
282	1300	3295
283	1305	3291
284	1309	3286
285	1314	3282
286	1319	3278
287	1324	3274
288	1328	3269
289	1334	3266
290	1339	3264
291	1344	3260
292	1349	3255
293	1355	3254
294	1360	3252
295	1365	3248
296	1369	3242
297	1375	3239
298	1380	3236
299	1385	3231
300	1389	3226
301	1394	3222
302	1399	3218
303	1403	3212
304	1408	3208
305	1412	3204
306	1417	3199
307	1422	3195
308	1427	3193
309	1432	3188
310	1436	3183
311	1442	3180
312	1447	3177
313	1452	3172
314	1456	3167
315	1461	3164
316	1466	3159
317	1470	3154
318	1475	3150
319	1480	3146
320	1484	3140
321	1490	3139
322	1495	3135
323	1500	3130
324	1504	3125
325	1509	3121
326	1514	3117
327	1519	3112
328	1524	3108
329	1529	3105
330	1534	3101
331	1538	3096
332	1544	3092
333	1549	3089
334	1554	3085
335	1558	3080
336	1563	3076
337	1569	3073
338	1573	3067
339	1578	3063
340	1583	3060
341	1588	3055
342	1592	3050
343	1597	3046
344	1602	3043
345	1607	3037
346	1611	3033
347	1617	3029
348	1621	3024
349	1626	3019
350	1631	3016
351	1636	3011
352	1640	3006
353	1645	3002
354	1650	2998
355	1655	2994
356	1659	2989
357	1665	2986
358	1670	2982
359	1675	2978
360	1679	2973
361	1685	2970
362	1689	2965
363	1694	2959
364	1699	2955
365	1704	2951
366	1708	2946
367	1713	2942
368	1718	2939
369	1723	2934
370	1727	2928
371	1733	2926
372	1738	2922
373	1743	2917
374	1747	2912
375	1752	2908
376	1757	2903
377	1761	2898
378	1766	2894
379	1771	2889
380	1775	2884
381	1780	2880
382	1785	2876
383	1789	2870
384	1794	2866
385	1799	2862
386	1804	2857
387	1808	2852
388	1813	2848
389	1818	2843
390	1822	2838
391	1827	2834
392	1832	2830
393	1836	2824
394	1842	2822
395	1856	2831
396	1861	2827
397	1865	2822
398	1869	2816
399	1874	2811
400	1878	2805
401	1882	2800
402	1886	2794
403	1890	2788
404	1894	2783
405	1898	2778
406	1903	2772
407	1907	2767
408	1911	2761
409	1915	2756
410	1919	2751
411	1923	2745
412	1928	2740
413	1932	2734
414	1936	2729
415	1940	2724
416	1944	2719
417	1949	2713
418	1953	2708
419	1957	2702
420	1961	2697
421	1965	2691
422	1969	2686
423	1973	2680
424	1977	2675
425	1981	2669
426	1985	2664
427	1989	2659
428	1994	2654
429	1998	2648
430	2002	2643
431	2007	2639
432	2011	2634
433	2016	2629
434	2020	2624
435	2025	2619
436	2029	2614
437	2034	2610
438	2038	2604
439	2043	2600
440	2047	2595
441	2052	2590
442	2056	2586
443	2060	2580
444	2065	2575
445	2069	2570
446	2073	2564
447	2077	2559
448	2081	2554
449	2085	2548
450	2089	2543
451	2093	2538
452	2097	2533
453	2102	2527
454	2106	2522
455	2110	2517
456	2114	2512
457	2118	2506
458	2122	2501
459	2126	2496
460	2131	2491
461	2135	2486
462	2139	2481
463	2143	2476
464	2148	2471
465	2152	2466
466	2156	2460
467	2160	2455
468	2164	2450
469	2168	2445
470	2172	2440
471	2176	2434
472	2180	2429
473	2184	2424
474	2188	2419
475	2193	2414
476	2197	2409
477	2201	2404
478	2205	2399
479	2209	2393
480	2213	2388
481	2217	2383
482	2221	2378
483	2226	2373
484	2230	2368
485	2234	2362
486	2238	2358
487	2242	2352
488	2247	2348
489	2251	2343
490	2255	2338
491	2259	2333
492	2263	2328
493	2268	2323
494	2272	2318
495	2276	2312
496	2280	2308
497	2284	2302
498	2288	2297
499	2300	2300
500	2304	2295
501	2308	2290
502	2312	2285
503	2316	2280
504	2321	2275
505	2325	2270
506	2329	2264
507	2333	2260
508	2337	2254
509	2341	2250
510	2346	2245
511	2350	2240
512	2354	2235
513	2358	2230
514	2362	2225
515	2367	2220
516	2370	2215
517	2375	2210
518	2379	2205
519	2383	2199
520	2387	2194
